word,source,priority
to,google_top3000,high
in,google_top3000,high
for,google_top3000,high
is,google_top3000,high
that,google_top3000,high
by,google_top3000,high
this,google_top3000,high
not,google_top3000,high
or,google_top3000,high
be,google_top3000,high
are,google_top3000,high
from,google_top3000,high
at,google_top3000,high
as,google_top3000,high
your,google_top3000,high
have,google_top3000,high
an,google_top3000,high
was,google_top3000,high
us,google_top3000,high
about,google_top3000,high
if,google_top3000,high
my,google_top3000,high
has,google_top3000,high
free,google_top3000,high
but,google_top3000,high
our,google_top3000,high
information,google_top3000,high
time,google_top3000,high
which,google_top3000,high
their,google_top3000,high
news,google_top3000,high
out,google_top3000,high
use,google_top3000,high
any,google_top3000,high
so,google_top3000,high
his,google_top3000,high
pm,google_top3000,high
view,google_top3000,high
am,google_top3000,high
been,google_top3000,high
would,google_top3000,high
were,google_top3000,high
me,google_top3000,high
these,google_top3000,high
its,google_top3000,high
like,google_top3000,high
than,google_top3000,high
top,google_top3000,high
people,google_top3000,high
had,google_top3000,high
list,google_top3000,high
just,google_top3000,high
over,google_top3000,high
state,google_top3000,high
into,google_top3000,high
world,google_top3000,high
re,google_top3000,high
used,google_top3000,high
work,google_top3000,high
most,google_top3000,high
buy,google_top3000,high
them,google_top3000,high
should,google_top3000,high
system,google_top3000,high
her,google_top3000,high
such,google_top3000,high
available,google_top3000,high
message,google_top3000,high
best,google_top3000,high
then,google_top3000,high
jan,google_top3000,high
well,google_top3000,high
narrator,minecraft_lang,medium
title,minecraft_lang,medium
enterip,minecraft_lang,medium
entername,minecraft_lang,medium
resourcepack,minecraft_lang,medium
disabled,minecraft_lang,medium
enabled,minecraft_lang,medium
prompt,minecraft_lang,medium
advancementnotfound,minecraft_lang,medium
description,minecraft_lang,medium
progress,minecraft_lang,medium
sad label,minecraft_lang,medium
challenge,minecraft_lang,medium
goal,minecraft_lang,medium
task,minecraft_lang,medium
mode,minecraft_lang,medium
auto,minecraft_lang,medium
conditional,minecraft_lang,medium
redstonetriggered,minecraft_lang,medium
sequence,minecraft_lang,medium
unconditional,minecraft_lang,medium
notallowed,minecraft_lang,medium
notenabled,minecraft_lang,medium
previousoutput,minecraft_lang,medium
setcommand,minecraft_lang,medium
success,minecraft_lang,medium
trackoutput,minecraft_lang,medium
triggering,minecraft_lang,medium
type,minecraft_lang,medium
invalid,minecraft_lang,medium
incomplete,minecraft_lang,medium
duplicate,minecraft_lang,medium
novalue,minecraft_lang,medium
unclosed,minecraft_lang,medium
disallowed,minecraft_lang,medium
low,minecraft_lang,medium
entity,minecraft_lang,medium
negative,minecraft_lang,medium
inapplicable,minecraft_lang,medium
toosmall,minecraft_lang,medium
irreversible,minecraft_lang,medium
unterminated,minecraft_lang,medium
valueless,minecraft_lang,medium
allentities,minecraft_lang,medium
allplayers,minecraft_lang,medium
missing,minecraft_lang,medium
nearestentity,minecraft_lang,medium
nearestplayer,minecraft_lang,medium
not allowed,minecraft_lang,medium
randomplayer,minecraft_lang,medium
self,minecraft_lang,medium
toomany,minecraft_lang,medium
incorrect,minecraft_lang,medium
too long,minecraft_lang,medium
mixed,minecraft_lang,medium
value,minecraft_lang,medium
trailing,minecraft_lang,medium
int,minecraft_lang,medium
outofbounds,minecraft_lang,medium
outofworld,minecraft_lang,medium
unloaded,minecraft_lang,medium
ints,minecraft_lang,medium
swapped,minecraft_lang,medium
failed to parse,minecraft_lang,medium
invalid type,minecraft_lang,medium
not found,minecraft_lang,medium
invalid tick count,minecraft_lang,medium
invalid unit,minecraft_lang,medium
tick count too low,minecraft_lang,medium
expected,minecraft_lang,medium
malformed,minecraft_lang,medium
repeated,minecraft_lang,medium
overstacked,minecraft_lang,medium
nothing found,minecraft_lang,medium
too deep,minecraft_lang,medium
too large,minecraft_lang,medium
notfound,minecraft_lang,medium
readonly,minecraft_lang,medium
div,minecraft_lang,medium
armor toughness,minecraft_lang,medium
attack damage,minecraft_lang,medium
attack knockback,minecraft_lang,medium
attack speed,minecraft_lang,medium
block break speed,minecraft_lang,medium
block interaction range,minecraft_lang,medium
burning time,minecraft_lang,medium
entity interaction range,minecraft_lang,medium
explosion knockback resistance,minecraft_lang,medium
fall damage multiplier,minecraft_lang,medium
flying speed,minecraft_lang,medium
follow range,minecraft_lang,medium
jump strength,minecraft_lang,medium
knockback resistance,minecraft_lang,medium
max absorption,minecraft_lang,medium
max health,minecraft_lang,medium
movement efficiency,minecraft_lang,medium
movement speed,minecraft_lang,medium
oxygen bonus,minecraft_lang,medium
safe fall distance,minecraft_lang,medium
scale,minecraft_lang,medium
