word,best_rank,source_ids,status,chinese,category_hint,note
"to","4","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"a","5","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"in","6","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"for","7","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"is","8","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"that","10","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"by","11","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"this","12","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"not","17","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"or","18","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"be","19","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"are","20","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"from","21","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"at","22","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"as","23","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"your","24","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"have","26","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"an","29","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"was","30","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"us","35","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"about","36","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"if","37","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"page","38","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"my","39","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"has","40","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"search","41","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"free","42","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"but","43","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"our","44","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"information","49","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"time","50","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"site","52","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"which","57","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"their","58","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"news","59","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"out","60","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"use","61","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"any","62","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"so","66","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"his","67","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"contact","69","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"business","71","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"pm","78","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"view","79","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"online","80","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"e","82","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"am","84","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"been","85","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"would","86","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"were","88","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"me","89","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"s","90","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"services","91","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"these","93","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"click","94","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"its","95","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"like","96","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"service","97","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"x","98","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"than","99","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"price","101","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"date","102","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"top","104","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"people","105","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"had","106","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"list","107","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"just","109","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"over","110","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"state","111","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"into","114","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"email","115","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"n","118","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"world","119","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"re","120","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"used","122","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"b","124","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"work","125","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"most","127","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"products","128","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"buy","130","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"data","131","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"them","133","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"should","134","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"product","135","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"system","136","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"post","137","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"her","138","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"t","140","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"policy","142","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"such","144","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"available","146","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"copyright","147","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"message","149","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"best","151","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"software","152","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"then","153","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"jan","154","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"well","157","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"d","158","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"info","160","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"rights","161","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"public","162","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"books","163","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"high","164","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"through","166","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"m","167","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"links","169","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"review","171","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"years","172","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"order","173","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"privacy","175","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"company","178","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"r","179","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"group","181","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"need","182","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"user","184","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"said","185","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"de","186","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"does","187","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"set","188","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"under","189","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"general","190","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"research","191","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"university","192","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"january","193","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"mail","194","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"reviews","197","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"program","198","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"life","199","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"know","200","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"games","201","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"way","202","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"days","203","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"management","204","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"p","205","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"part","206","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"could","207","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"great","208","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"united","209","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"real","211","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"f","212","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"international","214","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"center","215","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"ebay","216","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"must","217","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"travel","219","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"comments","220","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"made","221","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"development","222","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"report","223","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"member","225","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"details","226","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"line","227","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"terms","228","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"hotels","230","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"did","231","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"send","232","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"type","234","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"because","235","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"local","236","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"those","237","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"using","238","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"results","239","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"education","241","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"national","242","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"design","244","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"posted","246","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"address","248","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"within","250","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"states","251","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"area","252","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"want","253","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"dvd","255","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"shipping","256","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"reserved","257","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"subject","258","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"between","259","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"forum","260","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"l","262","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"based","264","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"w","265","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"code","266","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"show","267","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"o","268","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"even","269","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"check","271","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"special","272","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"prices","273","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"website","274","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"index","275","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"being","276","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"women","277","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"file","280","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"link","281","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
"technology","284","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation"
