id,entry_id,source_file,source_group,source_version
"48137","14611","js\vocabularies\common\common_vocabulary.js","common","2.2.3"
"48138","14611","js\vocabularies\kindergarten\kindergarten_5_daily.js","kindergarten","2.2.3"
"48139","14611","js\vocabularies\kindergarten\merged_kindergarten_vocab - 副本.js","kindergarten","2.2.3"
"48140","14611","js\vocabularies\kindergarten\merged_kindergarten_vocab.js","kindergarten","2.2.3"
"48141","14611","js\vocabularies\kindergarten_5_daily.js","other","2.2.3"
"48142","14611","js\vocabularies\stage\merged_vocabulary.js","stage","2.2.3"
"48143","14611","js\vocabularies\stage\stage_kindergarten.js","stage","2.2.3"
"48145","14611","js\vocabularies\kindergarten\kindergarten_4_communication.js","kindergarten","2.2.3"
"48146","14611","js\vocabularies\kindergarten_4_communication.js","other","2.2.3"
"48147","14612","js\vocabularies\common\common_vocabulary.js","common","2.2.3"
"48148","14612","js\vocabularies\kindergarten\kindergarten_5_daily.js","kindergarten","2.2.3"
"48149","14612","js\vocabularies\kindergarten\merged_kindergarten_vocab - 副本.js","kindergarten","2.2.3"
"48150","14612","js\vocabularies\kindergarten\merged_kindergarten_vocab.js","kindergarten","2.2.3"
"48151","14612","js\vocabularies\kindergarten_5_daily.js","other","2.2.3"
"48152","14612","js\vocabularies\stage\merged_vocabulary.js","stage","2.2.3"
"48153","14612","js\vocabularies\stage\stage_elementary_lower.js","stage","2.2.3"
"48154","14612","js\vocabularies\stage\stage_kindergarten.js","stage","2.2.3"
"48156","14612","js\vocabularies\kindergarten\kindergarten_4_communication.js","kindergarten","2.2.3"
"48157","14612","js\vocabularies\kindergarten_4_communication.js","other","2.2.3"
"48158","14613","js\vocabularies\common\common_vocabulary.js","common","2.2.3"
"48159","14613","js\vocabularies\kindergarten\kindergarten_2_study.js","kindergarten","2.2.3"
"48160","14613","js\vocabularies\kindergarten\kindergarten_5_daily.js","kindergarten","2.2.3"
"48161","14613","js\vocabularies\kindergarten\merged_kindergarten_vocab - 副本.js","kindergarten","2.2.3"
"48163","14613","js\vocabularies\kindergarten\merged_kindergarten_vocab.js","kindergarten","2.2.3"
"48165","14613","js\vocabularies\kindergarten_5_daily.js","other","2.2.3"
"48166","14613","js\vocabularies\stage\merged_vocabulary.js","stage","2.2.3"
"48167","14613","js\vocabularies\stage\stage_elementary_lower.js","stage","2.2.3"
"48168","14613","js\vocabularies\stage\stage_kindergarten.js","stage","2.2.3"
"48170","14613","js\vocabularies\kindergarten\kindergarten_4_communication.js","kindergarten","2.2.3"
"48171","14613","js\vocabularies\kindergarten_4_communication.js","other","2.2.3"
"48172","14614","js\vocabularies\common\common_vocabulary.js","common","2.2.3"
