id,word,best_rank,source_ids,status,chinese,category_hint,note,created_at,updated_at
"182759","to","4","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182760","a","5","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182761","in","6","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182762","for","7","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182763","is","8","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182764","that","10","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182765","by","11","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182766","this","12","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182767","not","17","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182768","or","18","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182769","be","19","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182770","are","20","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182771","from","21","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182772","at","22","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182773","as","23","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182774","your","24","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182775","have","26","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182776","an","29","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
"182777","was","30","google_10000_en","pending_review","","common","Need Chinese translation + image verification before activation","2026-02-18T08:50:25.977Z","2026-02-18T08:50:25.977Z"
